well,full_sample_id,
A1,POC-175,
A2,POC-466-20220515,
A3,POC-467-20220515,
A4,POC-468-20220515,
A5,POC-469-20220515,
A6,POC-470-20220515,
A7,POC-471-20220515,
A8,POC-472-20220515,
A9,POC-473-20220515,
A10,POC-474-20220515,
A11,POC-475-20220515,
A12,POC-476-20220517,
B1,POC-175,
B2,POC-466-20220515,
B3,POC-467-20220515,
B4,POC-468-20220515,
B5,POC-469-20220515,
B6,POC-470-20220515,
B7,POC-471-20220515,
B8,POC-472-20220515,
B9,POC-473-20220515,
B10,POC-474-20220515,
B11,POC-475-20220515,
B12,POC-476-20220517,
C1,POC-477-20220517,
C2,POC-478-20220517,
C3,POC-479-20220517,
C4,POC-480-20220517,
C5,POC-481-20220517,
C6,POC-482-20220517,
C7,POC-483-20220517,
C8,POC-484-20220517,
C9,POC-485-20220517,
C10,NA,
C11,NA,
C12,NA,
D1,POC-477-20220517,
D2,POC-478-20220517,
D3,POC-479-20220517,
D4,POC-480-20220517,
D5,POC-481-20220517,
D6,POC-482-20220517,
D7,POC-483-20220517,
D8,POC-484-20220517,
D9,POC-485-20220517,
D10,NA,
D11,NA,
D12,NA,
E1,NA,
E2,NA,
E3,NA,
E4,NA,
E5,NA,
E6,NA,
E7,NA,
E8,NA,
E9,NA,
E10,NA,
E11,NA,
E12,NA,
F1,NA,
F2,NA,
F3,NA,
F4,NA,
F5,NA,
F6,NA,
F7,NA,
F8,NA,
F9,NA,
F10,NA,
F11,NA,
F12,NA,
G1,NA,
G2,NA,
G3,NA,
G4,NA,
G5,NA,
G6,BK,Incubated acetone
G7,BK,Incubated acetone
G8,BK,Acetone
G9,BK,Acetone 
G10,NA,
G11,NA,
G12,NA,
H1,NA,
H2,NA,
H3,NA,
H4,NA,
H5,NA,
H6,BK,Incubated acetone
H7,BK,Incubated acetone
H8,BK,Acetone
H9,BK,Acetone 
H10,NA,
H11,NA,
H12,NA,