Software Version,3.05.11,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20240207_Plate4_host_BCA.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,2/7/24,,,,,,,,,,,,
Time,7:06:09 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,24.8,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,2.015,1.805,0.96,0.95,0.603,0.379,0.248,0.11,0.074,0.045,0.045,0.048,562:562
B,2.015,1.669,1.074,1.026,0.732,0.445,0.26,0.112,0.077,0.044,0.045,0.045,562:562
C,0.516,0.045,0.044,0.044,0.045,0.044,0.044,0.045,0.044,0.044,0.045,0.046,562:562
D,0.537,0.044,0.044,0.044,0.045,0.044,0.045,0.044,0.045,0.045,0.044,0.045,562:562
E,0.044,0.044,0.045,0.044,0.044,0.045,0.045,0.045,0.044,0.045,0.044,0.045,562:562
F,0.045,0.045,0.045,0.044,0.044,0.044,0.045,0.043,0.046,0.045,0.044,0.044,562:562
G,0.045,0.044,0.044,0.045,0.045,0.045,0.043,0.045,0.045,0.046,0.044,0.046,562:562
H,0.046,0.044,0.044,0.045,0.044,0.044,0.044,0.044,0.045,0.045,0.044,0.044,562:562