colony_id,date,full_sample_id,sample.type,diameter,weight1.g,weight2.g,timepoint,site,Notes
1,March DB,NA,Standard,7.44,140.4,146,March DB,NA,
2,March DB,NA,Standard,6.22,93.271,96.842,March DB,NA,
3,March DB,NA,Standard,5.08,46.368,48.827,March DB,NA,
4,March DB,NA,Standard,3.16,10.977,11.685,March DB,NA,
5,March DB,NA,Standard,2.52,6.212,6.59,March DB,NA,
6,March DB,NA,Standard,1.9,2.204,2.411,March DB,NA,
7,March DB,NA,Standard,1.18,0.577,0.649,March DB,NA,
8,20240120,NA,Standard,7.44,132.279,137.853,20240120,NA,
9,20240120,NA,Standard,6.22,94.593,98.571,20240120,NA,
10,20240120,NA,Standard,5.08,45.58,47.801,20240120,NA,
11,20240120,NA,Standard,3.16,13.149,14.027,20240120,NA,
12,20240120,NA,Standard,2.52,5.792,6.244,20240120,NA,
13,20240120,NA,Standard,1.9,2.916,3.164,20240120,NA,
14,20240120,NA,Standard,1.18,0.606,0.689,20240120,NA,
POC-466,20220126,POC-466-20220126,Coral,NA,7.23,7.71,January,backreef,
POC-467,20220126,POC-467-20220126,Coral,NA,11.92,12.61,January,backreef,
POC-468,20220126,POC-468-20220126,Coral,NA,9.94,10.52,January,backreef,
POC-469,20220126,POC-469-20220126,Coral,NA,4.16,4.35,January,backreef,
POC-470,20220126,POC-470-20220126,Coral,NA,4.86,7.23,January,backreef,
POC-471,20220126,POC-471-20220126,Coral,NA,7.54,8.08,January,backreef,
POC-472,20220126,POC-472-20220126,Coral,NA,5.78,6.13,January,backreef,
POC-473,20220126,POC-473-20220126,Coral,NA,10.73,11.4,January,backreef,
POC-474,20220126,POC-474-20220126,Coral,NA,15.89,16.6,January,backreef,
POC-475,20220126,POC-475-20220126,Coral,NA,7.27,7.65,January,backreef,
POC-470,20220215,POC-470-20220215,Coral,NA,8.75,9.322,February,backreef,
POC-467,20220215,POC-467-20220215,Coral,NA,26.767,28.432,February,backreef,
POC-471,20220215,POC-471-20220215,Coral,NA,4.48,4.714,February,backreef,
POC-475,20220215,POC-475-20220215,Coral,NA,17.217,18.537,February,backreef,
POC-474,20220215,POC-474-20220215,Coral,NA,11.571,12.148,February,backreef,
POC-472,20220215,POC-472-20220215,Coral,NA,6.285,6.659,February,backreef,
POC-473,20220215,POC-473-20220215,Coral,NA,16.372,17.551,February,backreef,
POC-468,20220215,POC-468-20220215,Coral,NA,8.295,8.762,February,backreef,
POC-466,20220215,POC-466-20220215,Coral,NA,14.497,15.433,February,backreef,
POC-469,20220215,POC-469-20220215,Coral,NA,8.605,9.145,February,backreef,
POC-481,20220217,POC-481-20220217,Coral,NA,16.947,18.029,February,forereef,
POC-476,20220217,POC-476-20220217,Coral,NA,4.311,4.585,February,forereef,
POC-480,20220217,POC-480-20220217,Coral,NA,4.86,5.105,February,forereef,
POC-483,20220217,POC-483-20220217,Coral,NA,8.158,8.639,February,forereef,
POC-485,20220217,POC-485-20220217,Coral,NA,12.163,13.161,February,forereef,
POC-477,20220217,POC-477-20220217,Coral,NA,6.885,7.354,February,forereef,
POC-478,20220217,POC-478-20220217,Coral,NA,10.876,11.651,February,forereef,
POC-482,20220217,POC-482-20220217,Coral,NA,12.58,13.449,February,forereef,
POC-484,20220217,POC-484-20220217,Coral,NA,7.795,8.238,February,forereef,
POC-479,20220217,POC-479-20220217,Coral,NA,14.302,15.275,February,forereef,
POC-470,20220315,POC-470-20220315,Coral,NA,18.459,19.427,March,backreef,
POC-466,20220315,POC-466-20220315,Coral,NA,8.992,9.467,MARCH,backreef,
POC-482,20220316,POC-482-20220316,Coral,NA,9.09,9.618,March,forereef,
POC-484,20220316,POC-484-20220316,Coral,NA,17.453,18.553,March,forereef,
POC-467,20220315,POC-467-20220315,Coral,NA,11.583,12.461,March,backreef,
POC-468,20220315,POC-468-20220315,Coral,NA,10.117,10.69,March,backreef,
POC-479,20220316,POC-479-20220316,Coral,NA,9.773,10.367,March,forereef,
POC-472,20220315,POC-472-20220315,Coral,NA,7.686,8.135,March,backreef,
POC-481,20220316,POC-481-20220316,Coral,NA,19.732,20.78,March,forereef,
POC-471,20220315,POC-471-20220315,Coral,NA,25.142,26.843,March,backreef,
POC-483,20220316,POC-483-20220316,Coral,NA,20.519,21.848,March,forereef,
POC-473,20220315,POC-473-20220315,Coral,NA,11.378,12.266,March,backreef,
POC-485,20220316,POC-485-20220316,Coral,NA,12.266,14.213,March,forereef,
POC-477,20220316,POC-477-20220316,Coral,NA,3.948,4.229,March,forereef,
POC-474,20220315,POC-474-20220315,Coral,NA,17.625,18.408,March,backreef,
POC-469,20220315,POC-469-20220315,Coral,NA,24.245,25.825,March,backreef,
POC-478,20220316,POC-478-20220316,Coral,NA,25.88,27.528,March,forereef,
POC-476,20220316,POC-476-20220316,Coral,NA,13.479,14.472,March,forereef,
POC-475,20220315,POC-475-20220315,Coral,NA,13.467,14.237,March,backreef,
POC-480,20220316,POC-480-20220316,Coral,NA,3.35,3.525,March,forereef,
POC-485,20220413,POC-485-20220413,Coral,NA,10.612,11.917,April,forereef,
POC-482,20220413,POC-482-20220413,Coral,NA,9.215,9.954,April,forereef,
POC-479,20220413,POC-479-20220413,Coral,NA,27.091,28.904,April,forereef,
POC-468,20220414,POC-468-20220414,Coral,NA,5.961,6.387,April,backreef,
POC-481,20220413,POC-481-20220413,Coral,NA,8.425,9.065,April,forereef,
POC-477,20220413,POC-477-20220413,Coral,NA,8.302,9.066,April,forereef,
POC-472,20220414,POC-472-20220414,Coral,NA,14.912,15.862,April,backreef,
POC-471,20220414,POC-471-20220414,Coral,NA,14.577,16.402,April,backreef,
POC-470,20220414,POC-470-20220414,Coral,NA,19.661,20.917,April,backreef,
POC-473,20220414,POC-473-20220414,Coral,NA,8.124,8.735,April,backreef,
POC-466,20220414,POC-466-20220414,Coral,NA,5.943,6.39,April,backreef,
POC-483,20220413,POC-483-20220413,Coral,NA,8.729,9.425,April,forereef,
POC-478,20220413,POC-478-20220413,Coral,NA,3.721,4.043,April,forereef,
POC-467,20220414,POC-467-20220414,Coral,NA,7.859,8.328,April,backreef,
POC-484,20220413,POC-484-20220413,Coral,NA,5.786,6.221,April,forereef,
POC-476,20220413,POC-476-20220413,Coral,NA,8.902,9.612,April,forereef,
POC-480,20220413,POC-480-20220413,Coral,NA,11.066,11.853,April,forereef,
POC-469,20220414,POC-469-20220414,Coral,NA,17.276,18.25,April,backreef,
POC-475,20220413,POC-475-20220413,Coral,NA,12.342,13.146,April,forereef,
POC-474,20220414,POC-474-20220414,Coral,NA,7.792,8.229,April,backreef,
POC-474,20220515,POC-474-20220515,Coral,NA,26.648,28.068,May,backreef,
POC-470,20220515,POC-470-20220515,Coral,NA,6.881,7.193,May,backreef,
POC-485,20220517,POC-485-20220517,Coral,NA,5.631,6.12,May,forereef,
POC-479,20220517,POC-479-20220517,Coral,NA,6.618,7.15,May,forereef,
POC-468,20220515,POC-468-20220515,Coral,NA,2.82,3.012,May,backreef,
POC-472,20220515,POC-472-20220515,Coral,NA,3.608,3.987,May,backreef,
POC-473,20220515,POC-473-20220515,Coral,NA,8.304,9.004,May,backreef,
POC-476,20220517,POC-476-20220517,Coral,NA,8.164,8.876,May,forereef,
POC-482,20220517,POC-482-20220517,Coral,NA,7.194,8.091,May,forereef,
POC-483,20220517,POC-483-20220517,Coral,NA,3.904,4.237,May,forereef,
POC-466,20220515,POC-466-20220515,Coral,NA,4.224,4.576,May,backreef,
POC-480,20220517,POC-480-20220517,Coral,NA,3.832,4.171,May,forereef,
POC-471,20220515,POC-471-20220515,Coral,NA,5.737,6.237,May,backreef,
POC-469,20220515,POC-469-20220515,Coral,NA,5.5,5.944,May,backreef,
POC-481,20220517,POC-481-20220517,Coral,NA,10.117,10.867,May,forereef,
POC-478,20220517,POC-478-20220517,Coral,NA,5.652,6.128,May,forereef,
POC-475,20220515,POC-475-20220515,Coral,NA,1.615,1.764,May,backreef,
POC-467,20220515,POC-467-20220515,Coral,NA,3.219,3.416,May,backreef,
POC-477,20220517,POC-477-20220517,Coral,NA,5.706,6.148,May,forereef,
POC-484,20220517,POC-484-20220517,Coral,NA,4.841,5.253,May,forereef,
POC-473,20220616,POC-473-20220616,Coral,NA,6.183,6.751,June,backreef,
POC-480,20220617,POC-480-20220617,Coral,NA,6.215,6.721,June,forereef,
POC-468,20220616,POC-468-20220616,Coral,NA,9.15,9.753,June,backreef,
POC-466,20220616,POC-466-20220616,Coral,NA,2.603,2.845,June,backreef,
POC-476,20220617,POC-476-20220617,Coral,NA,3.04,3.332,June,forereef,
POC-474,20220616,POC-474-20220616,Coral,NA,24.519,25.79,June,backreef,
POC-477,20220617,POC-477-20220617,Coral,NA,13.029,14.32,June,forereef,
POC-479,20220617,POC-479-20220617,Coral,NA,15.443,16.758,June,forereef,
POC-475,20220616,POC-475-20220616,Coral,NA,17.199,18.371,June,backreef,
POC-484,20220617,POC-484-20220617,Coral,NA,25.868,28.049,June,forereef,
POC-471,20220616,POC-471-20220616,Coral,NA,7.762,8.289,June,backreef,
POC-481,20220617,POC-481-20220617,Coral,NA,17.491,18.884,June,forereef,
POC-469,20220616,POC-469-20220616,Coral,NA,15.155,16.433,June,backreef,
POC-472,20220616,POC-472-20220616,Coral,NA,11.858,12.649,June,backreef,
POC-485,20220617,POC-485-20220617,Coral,NA,3.67,3.986,June,forereef,
POC-483,20220617,POC-483-20220617,Coral,NA,7.039,7.668,June,forereef,
POC-467,20220616,POC-467-20220616,Coral,NA,14.056,15.17,June,backreef,
POC-470,20220616,POC-470-20220616,Coral,NA,23.729,25.164,June,backreef,
POC-478,20220617,POC-478-20220617,Coral,NA,9.446,10.168,June,forereef,
POC-482,20220617,POC-482-20220617,Coral,NA,12.534,13.55,June,forereef,
POC-470,20220727,POC-470-20220727,Coral,NA,7.77,8.222,July,backreef,
POC-475,20220727,POC-475-20220727,Coral,NA,6.919,7.283,July,backreef,
POC-471,20220727,POC-471-20220727,Coral,NA,8.835,9.598,July,backreef,
POC-483,20220729,POC-483-20220729,Coral,NA,10.001,11.106,July,forereef,
POC-469,20220727,POC-469-20220727,Coral,NA,10.937,11.747,July,backreef,
POC-467,20220727,POC-467-20220727,Coral,NA,6.526,6.92,July,backreef,
POC-472,20220727,POC-472-20220727,Coral,NA,13.938,14.82,July,backreef,
POC-468,20220727,POC-468-20220727,Coral,NA,18.286,19.375,July,backreef,
POC-480,20220729,POC-480-20220729,Coral,NA,17.403,18.565,July,forereef,
POC-481,20220729,POC-481-20220729,Coral,NA,7.336,7.882,July,forereef,
POC-466,20220727,POC-466-20220727,Coral,NA,16.093,17.037,July,backreef,
POC-484,20220729,POC-484-20220729,Coral,NA,15.45,17.058,July,forereef,
POC-485,20220729,POC-485-20220729,Coral,NA,10.428,11.147,July,forereef,
POC-482,20220729,POC-482-20220729,Coral,NA,8.038,8.726,July,forereef,
POC-175,NA,POC-175-NA,Coral,NA,6.831,7.553,July,NA,Labelled as POC-175
POC-479,20220729,POC-479-20220729,Coral,NA,11.375,12.213,July,forereef,
POC-477,20220729,POC-477-20220729,Coral,NA,5.76,6.24,July,forereef,
POC-476,20220729,POC-476-20220729,Coral,NA,10.121,11.146,July,forereef,
POC-474,20220727,POC-474-20220727,Coral,NA,10.446,11.064,July,backreef,
POC-473,20220727,POC-473-20220727,Coral,NA,11.386,12.215,July,backreef,
POC-478,20220729,POC-478-20220729,Coral,NA,6.516,7.044,July,forereef,
POC-467,20220811,POC-467-20220811,Coral,NA,31.84,34.083,August,backreef,
POC-475,20220811,POC-475-20220811,Coral,NA,19.604,20.969,August,backreef,
POC-483,20220812,POC-483-20220812,Coral,NA,9.132,9.811,August,forereef,
POC-474,20220811,POC-474-20220811,Coral,NA,16.36,17.455,August,backreef,
POC-471,20220811,POC-471-20220811,Coral,NA,13.863,15.124,August,backreef,
POC-482,20220812,POC-482-20220812,Coral,NA,7.296,7.808,August,forereef,
POC-466,20220811,POC-466-20220811,Coral,NA,23.249,24.91,August,backreef,
POC-477,20220812,POC-477-20220812,Coral,NA,14.573,15.752,August,forereef,
POC-470,20220811,POC-470-20220811,Coral,NA,20.103,21.912,August,backreef,
POC-485,20220812,POC-485-20220812,Coral,NA,12.706,14.165,August,forereef,
POC-484,20220812,POC-484-20220812,Coral,NA,16.302,17.177,August,forereef,
POC-479,20220812,POC-479-20220812,Coral,NA,29.756,31.799,August,forereef,
POC-478,20220812,POC-478-20220812,Coral,NA,19.172,20.534,August,forereef,
POC-480,20220812,POC-480-20220812,Coral,NA,18.274,19.607,August,forereef,
POC-476,20220812,POC-476-20220812,Coral,NA,7.111,7.688,August,forereef,
POC-481,20220812,POC-481-20220812,Coral,NA,6.654,7.128,August,forereef,
POC-472,20220811,POC-472-20220811,Coral,NA,18.274,19.499,August,backreef,
POC-468,20220811,POC-468-20220811,Coral,NA,22.287,23.677,August,backreef,
POC-473,20220811,POC-473-20220811,Coral,NA,10.52,11.341,August,backreef,
POC-469,20220811,POC-469-20220811,Coral,NA,14.806,16.101,August,backreef,
POC-470,20220917,POC-470-20220917,Coral,NA,16.694,17.639,backreef,September,
POC-468,20220917,POC-468-20220917,Coral,NA,19.348,21.082,backreef,September,
POC-472,20220917,POC-472-20220917,Coral,NA,21.9,23.376,backreef,September,
POC-473,20220917,POC-473-20220917,Coral,NA,15.885,17.568,backreef,September,
POC-467,20220917,POC-467-20220917,Coral,NA,17.106,18.197,backreef,September,
POC-466,20220917,POC-466-20220917,Coral,NA,10.242,10.835,backreef,September,
POC-474,20220917,POC-474-20220917,Coral,NA,29.524,31.625,backreef,September,
POC-471,20220917,POC-471-20220917,Coral,NA,14.991,15.936,backreef,September,
POC-475,20220917,POC-475-20220917,Coral,NA,8.891,8.958,backreef,September,
POC-469,20220917,POC-469-20220917,Coral,NA,22.803,24.536,backreef,September,
POC-483,20220930,POC-483-20220930,Coral,NA,12.402,13.506,forereef,September,
POC-478,20220930,POC-478-20220930,Coral,NA,11.493,12.344,forereef,September,
POC-479,20220930,POC-479-20220930,Coral,NA,13.921,14.936,forereef,September,
POC-484,20220930,POC-484-20220930,Coral,NA,11.313,12.129,forereef,September,
POC-480,20220930,POC-480-20220930,Coral,NA,9.882,10.735,forereef,September,
POC-485,20220930,POC-485-20220930,Coral,NA,13.177,14.042,forereef,September,
POC-481,20220930,POC-481-20220930,Coral,NA,6.773,7.433,forereef,September,
POC-482,20220930,POC-482-20220930,Coral,NA,24.182,25.905,forereef,September,
POC-476,20220930,POC-476-20220930,Coral,NA,9.12,9.931,forereef,September,
POC-477,20220930,POC-477-20220930,Coral,NA,7.585,8.263,forereef,September,
POC-474,20221015,POC-474-20221015,Coral,NA,18.032,19.259,backreef,October,
POC-469,20221015,POC-469-20221015,Coral,NA,13.421,14.733,backreef,October,
POC-472,20221015,POC-472-20221015,Coral,NA,12.839,14.274,backreef,October,
POC-470,20221015,POC-470-20221015,Coral,NA,28.843,30.656,backreef,October,
POC-467,20221015,POC-467-20221015,Coral,NA,26.022,27.955,backreef,October,
POC-473,20221015,POC-473-20221015,Coral,NA,12.898,13.9,backreef,October,
POC-471,20221015,POC-471-20221015,Coral,NA,26.248,28.186,backreef,October,
POC-475,20221015,POC-475-20221015,Coral,NA,19.966,21.133,backreef,October,
POC-468,20221015,POC-468-20221015,Coral,NA,18.518,19.823,backreef,October,
POC-466,20221015,POC-466-20221015,Coral,NA,16.262,17.565,backreef,October,
POC-479,20221017,POC-479-20221017,Coral,NA,26.086,28.246,forereef,October,
POC-477,20221017,POC-477-20221017,Coral,NA,28.313,30.811,forereef,October,
POC-480,20221017,POC-480-20221017,Coral,NA,22.742,24.479,forereef,October,
POC-485,20221017,POC-485-20221017,Coral,NA,19.91,20.711,forereef,October,
POC-484,20221017,POC-484-20221017,Coral,NA,19.773,21.968,forereef,October,
POC-483,20221017,POC-483-20221017,Coral,NA,16.897,18.453,forereef,October,
POC-476,20221017,POC-476-20221017,Coral,NA,13.671,15.086,forereef,October,
POC-482,20221017,POC-482-20221017,Coral,NA,13.133,13.993,forereef,October,
POC-478,20221017,POC-478-20221017,Coral,NA,10.383,11.097,forereef,October,
POC-481,20221017,POC-481-20221017,Coral,NA,13.928,14.953,forereef,October,
POC-471,20221111,POC-471-20221111,Coral,NA,11.694,12.434,backreef,November,
POC-475,20221111,POC-475-20221111,Coral,NA,15.582,16.487,backreef,November,
POC-474,20221111,POC-474-20221111,Coral,NA,16.383,17.139,backreef,November,
POC-469,20221111,POC-469-20221111,Coral,NA,8.46,9.108,backreef,November,
POC-467,20221111,POC-467-20221111,Coral,NA,4.332,4.655,backreef,November,
POC-466,20221111,POC-466-20221111,Coral,NA,23.967,25.592,backreef,November,
POC-468,20221111,POC-468-20221111,Coral,NA,26.304,27.718,backreef,November,
POC-470,20221111,POC-470-20221111,Coral,NA,15.57,16.852,backreef,November,
POC-473,20221111,POC-473-20221111,Coral,NA,9.915,10.689,backreef,November,
POC-472,20221111,POC-472-20221111,Coral,NA,13.049,13.98,backreef,November,
POC-485,20221110,POC-485-20221110,Coral,NA,22.245,23.799,forereef,November,
POC-477,20221110,POC-477-20221110,Coral,NA,8.789,9.421,forereef,November,
POC-480,20221110,POC-480-20221110,Coral,NA,17.205,18.357,forereef,November,
POC-482,20221110,POC-482-20221110,Coral,NA,11.568,12.703,forereef,November,
POC-483,20221110,POC-483-20221110,Coral,NA,9.91,10.685,forereef,November,
POC-484,20221110,POC-484-20221110,Coral,NA,18.02,19.408,forereef,November,
POC-478,20221110,POC-478-20221110,Coral,NA,14.381,15.6,forereef,November,
POC-481,20221110,POC-481-20221110,Coral,NA,7.156,7.812,forereef,November,
POC-476,20221110,POC-476-20221110,Coral,NA,13.875,15.2,forereef,November,
POC-479,20221110,POC-479-20221110,Coral,NA,29.36,32.018,forereef,November,