date,colony_id,species,patch,original.tag.number,site,timepoint
20220315,POC-474,Pocillopora,P1,474,backreef,MAR
20220315,POC-475,Pocillopora,P1,475,backreef,MAR
20220315,POC-472,Pocillopora,P2,472,backreef,MAR
20220315,POC-473,Pocillopora,P2,473,backreef,MAR
20220315,POC-466,Pocillopora,P3,466,backreef,MAR
20220315,POC-467,Pocillopora,P3,467,backreef,MAR
20220315,POC-468,Pocillopora,P4,468,backreef,MAR
20220315,POC-469,Pocillopora,P4,469,backreef,MAR
20220315,POC-470,Pocillopora,P5,470,backreef,MAR
20220315,POC-471,Pocillopora,P5,471,backreef,MAR
20220316,POC-477,Pocillopora,NA,477,forereef,MAR
20220316,POC-478,Pocillopora,NA,478,forereef,MAR
20220316,POC-479,Pocillopora,NA,479,forereef,MAR
20220316,POC-480,Pocillopora,NA,480,forereef,MAR
20220316,POC-481,Pocillopora,NA,481,forereef,MAR
20220316,POC-482,Pocillopora,NA,482,forereef,MAR
20220316,POC-483,Pocillopora,NA,483,forereef,MAR
20220316,POC-484,Pocillopora,NA,484,forereef,MAR
20220316,POC-485,Pocillopora,NA,485,forereef,MAR
20220316,POC-476,Pocillopora,NA,476,forereef,MAR
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,, ,