date,colony_id,species,patch,original.tag.number,site,timepoint,notes
20220215,POC-474,Pocillopora,P1,474,Mahana,FEB,
20220215,POC-475,Pocillopora,P1,475,Mahana,FEB,
20220215,POC-472,Pocillopora,P2,472,Mahana,FEB,
20220215,POC-473,Pocillopora,P2,473,Mahana,FEB,
20220215,POC-466,Pocillopora,P3,466,Mahana,FEB,
20220215,POC-467,Pocillopora,P3,467,Mahana,FEB,
20220215,POC-468,Pocillopora,P4,468,Mahana,FEB,
20220215,POC-469,Pocillopora,P4,469,Mahana,FEB,
20220215,POC-470,Pocillopora,P5,470,Mahana,FEB,
20220215,POC-471,Pocillopora,P5,471,Mahana,FEB,
20220217,POC-477,Pocillopora,NA,477,Forereef,FEB,
20220217,POC-478,Pocillopora,NA,478,Forereef,FEB,
20220217,POC-479,Pocillopora,NA,479,Forereef,FEB,
20220217,POC-480,Pocillopora,NA,480,Forereef,FEB,
20220217,POC-481,Pocillopora,NA,481,Forereef,FEB,
20220217,POC-482,Pocillopora,NA,482,Forereef,FEB,
20220217,POC-483,Pocillopora,NA,483,Forereef,FEB,
20220217,POC-484,Pocillopora,NA,484,Forereef,FEB,
20220217,POC-485,Pocillopora,NA,485,Forereef,FEB,
20220217,POC-476,Pocillopora,NA,476,Forereef,FEB,